"V1" "V2" "V3" "V4" "V5" "V6"
"TimeBodyAccJerk-MEAN()-Y" "0.0111723565" "0.0050469053" "0.0088052586" "0.0115061925" "0.0007467491" "0.0087588896"
"TimeBodyAccJerk-MEAN()-Z" "-0.004859769" "-0.002486661" "-0.004582061" "-0.002319386" "-0.008728604" "-0.006009534"
"TimeBodyAccJerk-STD()-X" "-0.98038181" "-0.98499723" "-0.97996856" "-0.26728816" "-0.03388265" "-0.36086343"
"TimeBodyAccJerk-STD()-Y" "-0.97114757" "-0.97388316" "-0.96434275" "-0.10314114" "-0.07367441" "-0.33922650"
"TimeBodyAccJerk-CORRELATION()-Y,Z" "-0.04108601" " 0.03052374" " 0.06289907" " 0.17731016" " 0.10956684" " 0.17717093"
"TimeBodyGyro-MEAN()-X" "-0.016725340" "-0.038431317" "-0.026687141" "-0.034727577" "-0.084034543" " 0.006824496"
"TimeBodyGyro-MEAN()-Y" "-0.09341071" "-0.07212081" "-0.06771187" "-0.06942004" "-0.05299286" "-0.08852253"
"TimeBodyGyro-MEAN()-Z" "0.12588514" "0.07777715" "0.08014224" "0.08636265" "0.09467820" "0.05989381"
"TimeBodyGyro-STD()-X" "-0.9678924" "-0.9810222" "-0.9455284" "-0.4699148" "-0.3338175" "-0.4676071"
"TimeBodyGyro-STD()-Y" "-0.9631925" "-0.9667081" "-0.9612933" "-0.3479218" "-0.3396314" "-0.3442318"
"TimeBodyGyro-CORRELATION()-Y,Z" "-0.1338143" "-0.3094128" "-0.3346889" " 0.1226290" "-0.1066973" " 0.1931316"
"TimeBodyGyroJerk-MEAN()-X" "-0.10186430" "-0.09565211" "-0.09972928" "-0.09430071" "-0.07285323" "-0.11211746"
"TimeBodyGyroJerk-MEAN()-Y" "-0.03819809" "-0.04077978" "-0.04231711" "-0.04457011" "-0.05126398" "-0.03861927"
"TimeBodyGyroJerk-MEAN()-Z" "-0.06384982" "-0.05075553" "-0.05209555" "-0.05400647" "-0.05469615" "-0.05258103"
"TimeBodyGyroJerk-STD()-X" "-0.9761248" "-0.9857051" "-0.9669579" "-0.3762214" "-0.3826898" "-0.5531328"
"TimeBodyGyroJerk-STD()-Y" "-0.9804736" "-0.9865023" "-0.9802633" "-0.5126191" "-0.4659438" "-0.6673392"
"TimeBodyGyroJerk-CORRELATION()-Y,Z" "-0.10024058" "-0.09093240" "-0.20284804" "-0.04280822" "-0.16105126" "-0.08224733"
"TimeBodyAccMag-MEAN()" "-0.9411107" "-0.9546439" "-0.9541797" "-0.1679379" " 0.1012497" "-0.1002041"
"TimeBodyAccMag-arCoeff()4" "-0.154278928" "-0.134447302" "-0.143421797" "-0.004876026" " 0.061527029" " 0.089295434"
"TimeGravityAccMag-MEAN()" "-0.9411107" "-0.9546439" "-0.9541797" "-0.1679379" " 0.1012497" "-0.1002041"
"TimeGravityAccMag-arCoeff()4" "-0.154278928" "-0.134447302" "-0.143421797" "-0.004876026" " 0.061527029" " 0.089295434"
"TimeBodyAccJerkMag-MEAN()" "-0.9792088" "-0.9824444" "-0.9771180" "-0.2414520" "-0.1118018" "-0.3909386"
"TimeBodyAccJerkMag-arCoeff()4" "-0.058964521" "-0.081956801" "-0.110817351" " 0.070630979" "-0.003196778" "-0.048471791"
"TimeBodyGyroMag-MEAN()" "-0.9384360" "-0.9467241" "-0.9421525" "-0.2748660" "-0.1297856" "-0.1782811"
"TimeBodyGyroMag-arCoeff()4" "-0.11128633" "-0.05546044" "-0.01711245" "-0.03143638" "-0.10007040" "-0.01193483"
"TimeBodyGyroJerkMag-MEAN()" "-0.9827266" "-0.9878801" "-0.9786971" "-0.4605115" "-0.4168916" "-0.6080471"
"TimeBodyGyroJerkMag-arCoeff()4" "-0.06546745" "-0.14998204" "-0.18376917" "-0.05385671" "-0.01843659" "-0.15290338"
"FrequencyBodyAcc-MEAN()-X" "-0.96681207" "-0.98309197" "-0.98162230" "-0.29789093" " 0.03525967" "-0.29340675"
"FrequencyBodyAcc-MEAN()-Y" "-0.95267842" "-0.94791797" "-0.94313238" "-0.04233922" " 0.05668265" "-0.13495051"
"FrequencyBodyAcc-MEAN()-Z" "-0.9600180" "-0.9570310" "-0.9573597" "-0.3418407" "-0.2137292" "-0.3681221"
"FrequencyBodyAcc-STD()-X" "-0.9590315" "-0.9837473" "-0.9858598" "-0.3228358" " 0.1219380" "-0.2188880"
"FrequencyBodyAcc-STD()-Y" "-0.942460971" "-0.932533490" "-0.931132967" "-0.077206342" "-0.008233671" "-0.021811037"
"FrequencyBodyAcc-bandsEnergy()-25,48" "-0.9989655" "-0.9992066" "-0.9992308" "-0.9100447" "-0.8661372" "-0.9572977"
"FrequencyBodyAccJerk-MEAN()-X" "-0.98019766" "-0.98518877" "-0.98000869" "-0.31112744" "-0.07229678" "-0.38989677"
"FrequencyBodyAccJerk-MEAN()-Y" "-0.9713836" "-0.9739882" "-0.9645474" "-0.1703951" "-0.1163806" "-0.3646668"
"FrequencyBodyAccJerk-MEAN()-Z" "-0.9766145" "-0.9795620" "-0.9761578" "-0.4510105" "-0.3331903" "-0.5916701"
"FrequencyBodyAccJerk-STD()-X" "-0.98245960" "-0.98618495" "-0.98182608" "-0.28789769" "-0.08219052" "-0.38899276"
"FrequencyBodyAccJerk-STD()-Y" "-0.97305124" "-0.97575086" "-0.96683163" "-0.09086991" "-0.09141646" "-0.35763293"
"FrequencyBodyAccJerk-bandsEnergy()-25,48" "-0.9993768" "-0.9996060" "-0.9993929" "-0.9129901" "-0.8677920" "-0.9602430"
"FrequencyBodyGyro-MEAN()-X" "-0.9629150" "-0.9772673" "-0.9436543" "-0.3482374" "-0.2179229" "-0.3942482"
"FrequencyBodyGyro-MEAN()-Y" "-0.9675821" "-0.9724576" "-0.9653028" "-0.3883849" "-0.3175927" "-0.4592535"
"FrequencyBodyGyro-MEAN()-Z" "-0.9641844" "-0.9610287" "-0.9583850" "-0.3104062" "-0.1656251" "-0.2968577"
"FrequencyBodyGyro-STD()-X" "-0.9697473" "-0.9823333" "-0.9469716" "-0.5104320" "-0.3751275" "-0.4952540"
"FrequencyBodyGyro-STD()-Y" "-0.9613654" "-0.9640337" "-0.9594986" "-0.3319615" "-0.3618537" "-0.2931818"
"FrequencyBodyGyro-bandsEnergy()-25,48" "-0.9995287" "-0.9995959" "-0.9995300" "-0.9338119" "-0.8861159" "-0.9548241"
"FrequencyBodyAccMag-MEAN()" "-0.9476727" "-0.9524104" "-0.9558681" "-0.2755581" " 0.1428494" "-0.2620281"
"FrequencyBodyAccMag-kurtosis()" "-0.5118246" "-0.5992782" "-0.5857224" "-0.7616744" "-0.7135720" "-0.6600519"
"FrequencyBodyBodyAccJerkMag-MEAN()" "-0.974300115" "-0.978684370" "-0.971090424" "-0.214653972" " 0.004762459" "-0.353962000"
"FrequencyBodyBodyAccJerkMag-kurtosis()" "-0.7592988" "-0.7688183" "-0.7477680" "-0.3207948" "-0.3592977" "-0.5643733"
"FrequencyBodyBodyGyroMag-MEAN()" "-0.9548545" "-0.9642961" "-0.9479085" "-0.4091730" "-0.2895258" "-0.4497814"
"FrequencyBodyBodyGyroMag-kurtosis()" "-0.4694033" "-0.4799608" "-0.5537817" "-0.6763373" "-0.7061889" "-0.6168228"
"FrequencyBodyBodyGyroJerkMag-MEAN()" "-0.9779682" "-0.9853356" "-0.9748860" "-0.5155168" "-0.4380073" "-0.6586945"
